"ID","ERROR_FLAG","CONTENT","TITLE","REGIST_MEMBER_ID"
"1","false","初めてのメール送信てすとです","メール送信テスト","7"
"2","false","メールの送信テスト２
メールの送信テスト２
メールの送信テスト２
メールの送信テスト２
メールの送信テスト２
メールの送信テスト２
","メールの送信テスト","7"
"3","false","メールの送信テスト３
メールの送信テスト３
メールの送信テスト３
メールの送信テスト３","メールの送信テスト","7"
"4","false","メールの送信テスト４
メールの送信テスト４
メールの送信テスト４
メールの送信テスト４
メールの送信テスト４
メールの送信テスト４
メールの送信テスト４
メールの送信テスト４","メールの送信てすと","7"
"5","false","メールの送信テスト５
メールの送信テスト５
メールの送信テスト５
メールの送信テスト５


メールの送信テスト５
メールの送信テスト５


メールの送信テスト５

メールの送信テスト５","メールの送信テスト","7"
"6","false","asdfasdf","メールの送信てすと","7"
"7","false","メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」","メールの送信テスト「５月の飲み会のお知らせ」","14"
"8","false","「前期総会のお知らせ」
「前期総会のお知らせ」「前期総会のお知らせ」
「前期総会のお知らせ」
「前期総会のお知らせ」
「前期総会のお知らせ」「前期総会のお知らせ」
「前期総会のお知らせ」","「前期総会のお知らせ」","7"
"9","false","メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
メールの送信テスト「５月の飲み会のお知らせ」
","メールの送信テスト「５月の飲み会のお知らせ」","7"
"10","false","メールの送信テスト
メールの送信テスト
メールの送信テスト
メールの送信テスト
メールの送信テスト
メールの送信テスト
","メールの送信テスト","7"
"11","false","あああ","メールの送信てすと","7"
"12","false","test","test","7"
"13","false","aaa","会議新規登録によるメールの配信テスト","7"
"14","false","不達テストです","test","7"
"15","false","test","test","23"
"16","false","tetete","tet","28"
"17","false","会議名:　部活で絞らない会議
会議内容: ああああ
開催日時: 2014-06-0510:00:00
開催日時: 2014-07-10

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　部活で絞らない会議",
"18","false","会議名:　部活で絞る
会議内容: aa
開催日時: 2014-06-3010:00:00
開催日時: 2014-07-12

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　部活で絞る",
"19","false","会議名:　2300
会議内容: aaaaa
開催日時: 2014-06-0810:00:00
開催日時: 2014-07-10

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　2300",
"20","false","会議名:　部活で絞らない会議
会議内容: ああああ
開催日時: 2014-06-0510:00:00
開催日時: 2014-07-10

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　部活で絞らない会議",
"21","false","会議名:　部活で絞る
会議内容: aa
開催日時: 2014-06-3010:00:00
開催日時: 2014-07-12

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　部活で絞る",
"22","false","会議名:　2300
会議内容: aaaaa
開催日時: 2014-06-0810:00:00
開催日時: 2014-07-10

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　2300",
"23","true","会議名:　部活で絞らない会議
会議内容: ああああ
開催日時: 2014-06-0510:00:00
開催日時: 2014-07-10

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　部活で絞らない会議",
"24","true","会議名:　部活で絞る
会議内容: aa
開催日時: 2014-06-3010:00:00
開催日時: 2014-07-12

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　部活で絞る",
"25","true","会議名:　2300
会議内容: aaaaa
開催日時: 2014-06-0810:00:00
開催日時: 2014-07-10

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　2300",
"26","true","会議名:　新規システムテスト
会議内容: あああ
開催日時: 2014-06-2510:00:00
締め切り日時: 2014-06-23

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　新規システムテスト",
"27","false","aaaa","会議新規登録によるメールの配信テスト","5"
"28","false","teste","teset","5"
"29","true","会議名:　新システム６
会議内容: あああ
開催日時: 2014-06-3010:00:00
締め切り日時: 2014-07-12

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　新システム６",
"30","true","会議名:　新システム５
会議内容: あああ
開催日時: 2014-06-2510:00:00
締め切り日時: 2014-07-12

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　新システム５",
"31","true","会議名:　新システム４
会議内容: あああ
開催日時: 2014-06-2510:00:00
締め切り日時: 2014-07-12

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　新システム４",
"32","true","会議名:　新システムテスト３
会議内容: あああ
開催日時: 2014-07-1010:00:00
締め切り日時: 2014-07-01

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　新システムテスト３",
"33","true","会議名:　新システムテスト２
会議内容: ああ
開催日時: 2014-06-2510:00:00
締め切り日時: 2014-07-10

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　新システムテスト２",
"34","true","会議名:　新規システムテスト
会議内容: あああ
開催日時: 2014-06-2510:00:00
締め切り日時: 2014-06-23

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　新規システムテスト",
"35","false","tetetetetetet","aaa","5"
"36","false","test","teset","5"
"37","false","test2","test2","5"
"38","false","test3","test3","5"
"39","false","test4","test4","5"
"40","false","test","test","5"
"41","false","aaaa","aaa","5"
"42","false","aaaa","aaa","5"
"43","false","会議名:　必須　2日前
会議内容: 必須　2日前
開催日時: 2014-07-1013:00:00
締め切り日時: 2014-06-28

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　必須　2日前",
"44","false","会議名:　必須　3日前
会議内容: 必須　３日前
開催日時: 2014-07-1013:00:00
締め切り日時: 2014-06-29

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　必須　3日前",
"45","false","会議名:　必須　5日前
会議内容: 必須　5日前
開催日時: 2014-07-1013:00:00
締め切り日時: 2014-07-02

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　必須　5日前",
"46","false","会議名:　必須　当日
会議内容: 必須　1日前(当日)
開催日時: 2014-07-1013:00:00
締め切り日時: 2014-06-27

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　必須　当日",
"47","false","会議名:　必須　1日前
会議内容: 必須　2日前
開催日時: 2014-07-1013:00:00
締め切り日時: 2014-06-28

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　必須　1日前",
"48","false","会議名:　必須　2日前
会議内容: 必須　３日前
開催日時: 2014-07-1013:00:00
締め切り日時: 2014-06-29

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　必須　2日前",
"49","false","会議名:　必須　当日
会議内容: 必須　1日前(当日)
開催日時: 2014-07-1013:00:00
締め切り日時: 2014-06-27

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　必須　当日",
"50","false","会議名:　必須　1日前
会議内容: 必須　2日前
開催日時: 2014-07-1013:00:00
締め切り日時: 2014-06-28

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　必須　1日前",
"51","false","会議名:　必須　2日前
会議内容: 必須　３日前
開催日時: 2014-07-1013:00:00
締め切り日時: 2014-06-29

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　必須　2日前",
"52","true","会議名:　必須　当日
会議内容: 必須　1日前(当日)
開催日時: 2014-07-1013:00:00
締め切り日時: 2014-06-27

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　必須　当日",
"53","false","会議名:　必須　5日前
会議内容: 必須　5日前
開催日時: 2014-07-1013:00:00
締め切り日時: 2014-07-02

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　必須　5日前",
"54","false","会議名:　必須　2日前
会議内容: 必須　３日前
開催日時: 2014-07-1013:00:00
締め切り日時: 2014-06-29

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　必須　2日前",
"55","false","会議名:　必須　1日前
会議内容: 必須　2日前
開催日時: 2014-07-1013:00:00
締め切り日時: 2014-06-28

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　必須　1日前",
"56","false","会議名:　必須　当日
会議内容: 必須　1日前(当日)
開催日時: 2014-07-1013:00:00
締め切り日時: 2014-06-27

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。","(出欠席)　必須　当日",
"57","false","会議名:　必須　当日
会議内容: 必須　1日前(当日)
開催日: 2014-07-10
開催時間: 13:00:00
締め切り日時: 2014-06-27

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。

http://153.121.53.57/TsuboneSystem/login/
","(出欠席)　必須　当日",
"58","false","会議名:　必須　当日
会議内容: 必須　1日前(当日)
開催日: 2014-07-10
開催時間: 13:00:00
締め切り日時: 2014-06-27

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。

出欠の提出は以下のサイトにログインしてください。
http://153.121.53.57/TsuboneSystem/login/
","(出欠席)　必須　当日",
"59","false","aaaa","aaa","5"
"60","false","test","test","5"
"61","true","会議名:　必須　1日前
会議内容: 必須　2日前
開催日: 2014-07-10
開催時間: 01:00:00
締め切り日時: 2014-06-28

以上の会議にまだ出欠を出していません。とっとと出欠を出しましょう。

出欠の提出は以下のサイトにログインしてください。
http://153.121.53.57/TsuboneSystem/login/
","(出欠席)　必須　1日前",
